picture;target;target_color;expected;display_size;condition
images/card_033.png;X;blue;positive;1;feature
images/card_041.png;T;blue;positive;1;feature
images/card_035.png;X;blue;positive;5;feature
images/card_043.png;T;blue;positive;5;feature
images/card_037.png;X;blue;positive;15;feature
images/card_045.png;T;blue;positive;15;feature
images/card_039.png;X;blue;positive;30;feature
images/card_048.png;T;blue;positive;30;feature
images/card_097.png;-;-;negative;1;feature
images/card_098.png;-;-;negative;1;feature
images/card_105.png;-;-;negative;5;feature
images/card_106.png;-;-;negative;5;feature
images/card_113.png;-;-;negative;15;feature
images/card_114.png;-;-;negative;15;feature
images/card_121.png;-;-;negative;30;feature
images/card_122.png;-;-;negative;30;feature
images/card_049.png;S;brown;positive;1;feature
images/card_051.png;S;brown;positive;5;feature
images/card_053.png;S;brown;positive;15;feature
images/card_055.png;S;brown;positive;30;feature
images/card_057.png;S;green;positive;1;feature
images/card_059.png;S;green;positive;5;feature
images/card_061.png;S;green;positive;15;feature
images/card_063.png;S;green;positive;30;feature
images/card_099.png;-;-;negative;1;feature
images/card_100.png;-;-;negative;1;feature
images/card_107.png;-;-;negative;5;feature
images/card_108.png;-;-;negative;5;feature
images/card_115.png;-;-;negative;15;feature
images/card_116.png;-;-;negative;15;feature
images/card_123.png;-;-;negative;30;feature
images/card_124.png;-;-;negative;30;feature